,qnum,name,coordinates,birth location,birth country,img
375,Q185208,Glen Johnson,"(51.48, 0.0)",Greenwich,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Glen%20Johnson%2020111226%20%28cropped%29.jpg
376,Q188746,Jermain Defoe,"(51.5146, 0.0673)",Beckton,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Jermain-Defoe.jpg
377,Q189587,Bobby Robson,"(54.666666666, -1.833333333)",County Durham,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Bobby%20Robson%20Cropped.jpg
378,Q5981954,Lucas Vázquez,"(43.1272044, -8.1431838)",Curtis,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Lucas%20Vazquez.JPG
379,Q200785,Tim Howard,"(40.4525, -74.476666666)",North Brunswick,United States of America,http://commons.wikimedia.org/wiki/Special:FilePath/Tim%20Howard%20Portland%20Timbers%20vs%20Colorado%20Rapids%202016-10-16.jpg
380,Q201860,Clint Dempsey,"(31.608888888, -94.650833333)",Nacogdoches,United States of America,http://commons.wikimedia.org/wiki/Special:FilePath/Clint%20Dempsey%2020110622.jpg
381,Q313170,Jan Vertonghen,"(51.164444444, 4.139166666)",Sint-Niklaas,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Vertonghen%20Ajax%20skipper.jpg
382,Q146907,Miralem Pjanić,"(44.538055555, 18.676111111)",Tuzla,Bosnia and Herzegovina,http://commons.wikimedia.org/wiki/Special:FilePath/20150331%202026%20AUT%20BIH%202165%20%28cropped%29.jpg
383,Q379805,Mattia De Sciglio,"(45.466944444, 9.19)",Milan,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Mattia%20De%20Sciglio%201.jpg
384,Q43304,Marcello Lippi,"(43.8672392, 10.2506055)",Viareggio,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Marcello%20Lippi%20by%20Martina%20De%20Siervo%20-%20International%20Journalism%20Festival%202010.jpg
385,Q153002,Riccardo Montolivo,"(45.466944444, 9.19)",Milan,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Riccardo%20Montolivo%20Euro%202012%20vs%20England.jpg
386,Q203749,Fernando Muslera,"(-34.599722222, -58.381944444)",Buenos Aires,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20Muslera%202018.jpg
387,Q128719,Jasper Cillessen,"(51.8475, 5.8625)",Nijmegen,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Save%20the%20Dream%20at%20the%20Match%20of%20Champions%20%2831791512761%29%20%28cropped%29.jpg
388,Q184218,Ryan Babel,"(52.383333333, 4.9)",Amsterdam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Ryan-babel-6.jpg
390,Q192749,Just Fontaine,"(31.62947, -7.98108)",Marrakesh,Morocco,http://commons.wikimedia.org/wiki/Special:FilePath/Just%20Fontaine.jpg
391,Q215522,Guillermo Ochoa,"(20.676666666, -103.3475)",Guadalajara,Mexico,http://commons.wikimedia.org/wiki/Special:FilePath/Ger-Mex%20%2812%29.jpg
392,Q170452,Adriano,"(-22.908333333, -43.196388888)",Rio de Janeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Adriano%202009.jpg
393,Q163750,Jorginho,"(-22.908333333, -43.196388888)",Rio de Janeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Jorginho%202005.jpg
394,Q161089,İlkay Gündoğan,"(51.516666666, 7.1)",Gelsenkirchen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/20180602%20FIFA%20Friendly%20Match%20Austria%20vs.%20Germany%20%C4%B0lkay%20G%C3%BCndo%C4%9Fan%20850%200728.jpg
395,Q109397,Claudio Pizarro,"(-12.0522626, -77.1391133)",Callao,Peru,http://commons.wikimedia.org/wiki/Special:FilePath/Pizarro%20training%20FC%20Bayern%20%28cropped%29.jpg
396,Q154397,Roman Weidenfeller,"(50.370833333, 8.015833333)",Diez,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Suboti%C4%87%2C%20Kehl%20%26%20Weidenfeller%202012-07-04%20001%20%28cropped%29.jpg
397,Q44458,Paul Breitner,"(47.85, 12.066666666)",Kolbermoor,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/2008-05-18%20PaulBreitner.jpg
398,Q3529022,Timo Werner,"(48.776111111, 9.1775)",Stuttgart,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/2020-03-10%20Fu%C3%9Fball%2C%20M%C3%A4nner%2C%20UEFA%20Champions%20League%20Achtelfinale%2C%20RB%20Leipzig%20-%20Tottenham%20Hotspur%201DX%203684%20by%20Stepro%20%28cropped%29.jpg
399,Q247965,Mark Milligan,"(-33.866666666, 151.2)",Sydney,Australia,http://commons.wikimedia.org/wiki/Special:FilePath/20180601%20FIFA%20Friendly%20Match%20Czech%20Republic%20vs.%20Australia%20Mark%20Milligan%20850%200206.jpg
400,Q150947,Martín Demichelis,"(-31.416666666, -64.183333333)",Córdoba,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Mart%C3%ADn%20Demichelis.jpg
401,Q296684,Ezequiel Garay,"(-32.9575, -60.639444444)",Rosario,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Zenit-KS%20%287%29.jpg
402,Q467219,Koki Mizuno,"(34.975555555, 138.3825)",Shizuoka,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Koki%20Mizuno.jpg
403,Q558849,Naotake Hanyu,"(35.6, 140.1)",Chiba,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Naotake%20Hanyu.jpg
404,Q733555,Teruyuki Moniwa,"(35.433333333, 139.366666666)",Atsugi,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Teruyuki%20Moniwa%202007.jpg
405,Q982113,Mu Kanazaki,"(34.718611111, 136.505555555)",Tsu,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Mu%20Kanazaki%20FCN%202013.jpg
406,Q189827,John Arne Riise,"(62.733333, 7.183333)",Molde,Norway,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Arne%20Riise.JPG
407,Q13002,Paul Gascoigne,"(54.95, -1.6)",Gateshead,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Gascoigne%2C%20Paul.jpg
408,Q93563,Luke Shaw,"(51.4103, -0.2995)",Kingston upon Thames,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Shaw%20-%20July%202015%20%28cropped%29.jpg
409,Q10553748,Dele Alli,"(52.033333333, -0.766666666)",Milton Keynes,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/2020-03-10%20Dele%20Alli%20%28cropped%29.jpg
410,Q172792,Darren Fletcher,"(55.95, -3.198888888)",Edinburgh,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Darren%20Fletcher%20vs%20Everton%20%28cropped%29.jpg
411,Q16148978,Marco Asensio,"(39.566666666, 2.649722222)",Palma de Mallorca,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Marco%20Asensio%202018.jpg
412,Q276091,Koke,"(40.418888888, -3.691944444)",Madrid,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Koke%202019.jpg
413,Q151838,Axel Witsel,"(50.624993055, 5.590731388)",Liège,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Witsel%20celebrating%20bronze.jpg
414,Q48330,Roberto Mancini,"(43.522788888, 13.24395)",Iesi,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Mancini%202017.jpg
415,Q182907,Gianluca Zambrotta,"(45.81025, 9.086138888)",Como,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Gianluca%20Zambrotta%202019.jpg
416,Q337623,Marco Verratti,"(42.464277777, 14.214188888)",Pescara,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Marco%20Verratti%20unveiling%20%28cropped%29.jpg
417,Q372379,Georginio Wijnaldum,"(51.9225, 4.47917)",Rotterdam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/20160604%20AUT%20NED%208839.jpg
418,Q1894,Memphis Depay,"(51.9861, 4.6681)",Moordrecht,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/OL-MHSC%20%282017%29%20-%20Memphis%20Depay%20%28cropped%29.jpg
419,Q315309,İlhan Mansız,"(47.733333333, 10.316666666)",Kempten,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/2013%20Nebelhorn%20Trophy%20Ilhan%20MANSIZ%20IMG%205900.JPG
420,Q113156,Robert Pires,"(49.265277777, 4.028611111)",Reims,France,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Pires%202011.jpg
421,Q184362,Claude Makélélé,"(-4.331666666, 15.313888888)",Kinshasa,Democratic Republic of the Congo,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Makelele%20%28cropped%29.jpg
422,Q217482,Youri Djorkaeff,"(45.758888888, 4.841388888)",Lyon,France,http://commons.wikimedia.org/wiki/Special:FilePath/Youri%20Djorkaeff%202011.jpg
423,Q1909,Adil Rami,"(42.7, 9.449444444)",Bastia,France,http://commons.wikimedia.org/wiki/Special:FilePath/Adil%20Rami%2020120611.jpg
424,Q1924,Steve Mandanda,"(-4.331666666, 15.313888888)",Kinshasa,Democratic Republic of the Congo,http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Mandanda%202018.jpg
425,Q350547,Filipe Luís,"(-26.485833333, -49.066944444)",Jaraguá do Sul,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Filipe%20Lu%C3%ADs%202018.jpg
426,Q558836,Ruy Ramos,"(-22.908333333, -43.196388888)",Rio de Janeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Ruy%20Ramos%20on%20February%2017%2C%202010.jpg
427,Q713439,Artem Dzyuba,"(55.755833333, 37.617777777)",Moscow,Russia,http://commons.wikimedia.org/wiki/Special:FilePath/Zenit-Slavia%20Pr%20%287%29.jpg
428,Q150921,Marko Marin,"(45.133333333, 17.25)",Gradiška,Bosnia and Herzegovina,http://commons.wikimedia.org/wiki/Special:FilePath/Marko%20Marin%20-%20SV%20Werder%20Bremen%20%281%29.jpg
429,Q151278,Holger Badstuber,"(47.987777777, 10.181111111)",Memmingen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/FIFA%20WC-qualification%202014%20-%20Austria%20vs.%20Germany%202012-09-11%20-%20Holger%20Badstuber%2001.JPG
430,Q47516,Pierre Littbarski,"(52.53333333, 13.16666667)",West Berlin,Allied-occupied Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Littbarski%202006%20%28cropped%29.jpg
431,Q319368,Oleh Protasov,"(48.45, 34.983333333)",Dnipro,Ukraine,http://commons.wikimedia.org/wiki/Special:FilePath/Oleh%20Protasov4.jpg
432,Q8338725,Riyad Mahrez,"(48.997222222, 2.378055555)",Sarcelles,France,http://commons.wikimedia.org/wiki/Special:FilePath/Alg%C3%A9rie%20-%20Arm%C3%A9nie%20-%2020140531%20-%20Riyad%20Mahrez.jpg
433,Q15802,Daniel Passarella,"(-34.633333333, -60.466666666)","Chacabuco, Buenos Aires",Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Passarella%20copa%20mundo.jpg
434,Q16499882,Leroy Sané,"(51.450833333, 7.013055555)",Essen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/20161011%20U21%20AUT%20GER%209314.jpg
443,Q180462,Salomon Kalou,"(6.383333333, -5.416666666)",Oumé,Ivory Coast,http://commons.wikimedia.org/wiki/Special:FilePath/Hertha%20BSC%20vs.%20West%20Ham%20United%2020190731%20%28044%29.jpg
444,Q558862,Daigo Kobayashi,"(35.161388888, 138.676388888)",Fuji,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Daigo%20Kobayashi%2004.JPG
445,Q926833,Daigo Nishi,"(43.062083333, 141.354388888)",Sapporo,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Daigo%20Nishi%20%28cropped%29.jpg
446,Q2360065,Wagner Lopes,"(-20.538888888, -47.400833333)",Franca,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Wagner%20Lopes%20Nissan%20SC%20%28cropped%29.jpg
447,Q1439915,Eric Dier,"(51.896519444, -2.078427777)",Cheltenham,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/2020-03-10%20Fu%C3%9Fball%2C%20M%C3%A4nner%2C%20UEFA%20Champions%20League%20Achtelfinale%2C%20RB%20Leipzig%20-%20Tottenham%20Hotspur%201DX%203691%20by%20Stepro.jpg
448,Q6186603,Jesse Lingard,"(53.38732, -2.60288)",Warrington,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Jesse%20Lingard%202018-06-13%201.jpg
449,Q175303,Aaron Lennon,"(53.799722222, -1.549166666)",Leeds,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Aaron%20Lennon%20Brighton%20v%20Spurs%20Amex%20Opening%2030711.jpg
450,Q194149,Alex Oxlade-Chamberlain,"(50.805833333, -1.087222222)",Portsmouth,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Oxlade-Chamberlain.JPG
451,Q342219,Nacho Monreal,"(42.816666666, -1.65)",Pamplona,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/1%20nacho%20monreal%202015.jpg
453,Q1639968,Ander Herrera,"(43.262222222, -2.953333333)",Bilbao,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/2019-07-17%20SG%20Dynamo%20Dresden%20vs.%20Paris%20Saint-Germain%20by%20Sandro%20Halank%E2%80%93282%20%28cropped%29.jpg
454,Q125460,Simon Mignolet,"(50.816666666, 5.183333333)",Sint-Truiden,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Mignolet%202018.jpg
455,Q209650,Jari Litmanen,"(60.983333333, 25.655555555)",Lahti,Finland,http://commons.wikimedia.org/wiki/Special:FilePath/Litmanen%20jari.jpg
456,Q45900,Fabio Quagliarella,"(40.7, 14.483333333)",Castellammare di Stabia,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Fabio%20Quagliarella.jpg
457,Q189984,Franco Baresi,"(45.523972222, 10.079722222)",Travagliato,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Franco%20baresi%20panini%20card%201979.jpg
458,Q213007,Ignazio Abate,"(41.08932, 14.49743)",Sant'Agata de' Goti,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Abate%20has%20balls%2C%20August%202012.jpg
459,Q31981,David Alaba,"(48.20833, 16.373064)",Vienna,Austria,http://commons.wikimedia.org/wiki/Special:FilePath/12-06-05-aut-rom-freundschaftsspiel-200.jpg
460,Q946457,John Heitinga,"(52.133333333, 4.65)",Alphen aan den Rijn,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Heitinga%2008.08.jpg
462,Q128912,Daley Blind,"(52.383333333, 4.9)",Amsterdam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Zarya-MU%20%286%29%20%E2%80%94%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.jpg
464,Q185115,Edgar Davids,"(5.866666666, -55.166666666)",Paramaribo,Suriname,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Davids.jpg
465,Q185650,Nigel de Jong,"(52.383333333, 4.9)",Amsterdam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Nigel%20de%20Jong%202011%20%282%29.jpg
467,Q192923,Sokratis Papastathopoulos,"(37.016666666, 22.1)",Kalamata,Greece,http://commons.wikimedia.org/wiki/Special:FilePath/1%20Sokratis%20Papastathopoulos%20%28cropped%29.jpg
468,Q19599124,Benjamin Pavard,"(50.276944444, 3.9725)",Maubeuge,France,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Pavard%2020180709.jpg
469,Q562337,Giovani dos Santos,"(25.671388888, -100.308611111)",Monterrey,Mexico,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Dos%20Santos%202017-05-21%20%2834779601946%29%20%28cropped%29.jpg
471,Q313570,Hernanes,"(-7.602777777, -35.230833333)",Aliança,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Hernanes%20%282010%29.JPG
472,Q391680,Douglas Costa,"(-29.838888888, -51.143888888)",Sapucaia do Sul,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/20180610%20FIFA%20Friendly%20Match%20Austria%20vs.%20Brazil%20Douglas%20Costa%20%28BRA%29%20850%201486%20%28cropped%29.jpg
473,Q190142,Gilberto Silva,"(-20.022777777, -45.543888888)",Lagoa da Prata,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Gilberto%20Silva%20in%20North%20London.jpg
475,Q204555,Zinho,"(-22.758888888, -43.450833333)",Nova Iguaçu,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Zinho-%28footballer%29.jpg
476,Q152107,Jupp Heynckes,"(51.2, 6.433333333)",Mönchengladbach,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Jupp%20Heynckes%202013-01-04%20%28cropped%29.jpg
477,Q156822,Lúcio,"(-15.619166666, -47.6525)",Planaltina,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%BAcio%20-%20Inter%20Mailand%20%281%29.jpg
478,Q27694,Emre Can,"(50.113611111, 8.679722222)",Frankfurt am Main,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Germany%20VS.%20Cameroon%20%283%29%20%28cropped%29.jpg
479,Q59105,Gylfi Sigurðsson,"(64.1475, -21.935)",Reykjavík,Iceland,http://commons.wikimedia.org/wiki/Special:FilePath/ISL-HRV%20%2821%29.jpg
480,Q213002,Samir Handanović,"(46.05, 14.516666666)",Ljubljana,Slovenia,http://commons.wikimedia.org/wiki/Special:FilePath/Samir%20Handanovi%C4%87%202015.jpg
481,Q358075,Danijel Subašić,"(44.116666666, 15.216666666)",Zadar,Croatia,http://commons.wikimedia.org/wiki/Special:FilePath/Danijel%20Suba%C5%A1i%C4%87%202018%202.jpg
482,Q19392,Éver Banega,"(-32.9575, -60.639444444)",Rosario,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89ver%20Banega%20-%202011.jpg
483,Q244790,Pablo Zabaleta,"(-34.599722222, -58.381944444)",Buenos Aires,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Hertha%20BSC%20vs.%20West%20Ham%20United%2020190731%20%28127%29.jpg
484,Q310373,Osvaldo Ardiles,"(-32.633333333, -62.683333333)",Bell Ville,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Osvaldo%20Ardiles%20%281981%29.jpg
485,Q208025,Gervinho,"(5.494444444, -4.051666666)",Anyama,Ivory Coast,http://commons.wikimedia.org/wiki/Special:FilePath/Colombia%20and%20Ivory%20Coast%20match%20at%20the%20FIFA%20World%20Cup%202014-06-19%20%2815%29.jpg
486,Q326240,Ross Barkley,"(53.416666666, -3.0)",Liverpool,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Ross%20Barkley%20in%202019.jpg
487,Q2360093,Shunichiro Okano,"(35.689722222, 139.692222222)",Tokyo,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Shunichiro%20Okano%201953.jpg
488,Q40604,Kieran Gibbs,"(51.4903, -0.1193)",Lambeth,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Kieran%20Gibbs%2005-10-2014%201.jpg
489,Q59719,Adam Lallana,"(51.755, -0.336)",St Albans,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20Lallana%20in%20Bangkok%20%2819721313015%29.jpg
490,Q184946,Joe Cole,"(51.507222222, -0.1275)",London,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Joe%20Cole%202011.jpg
491,Q191162,Emile Heskey,"(52.633333333, -1.133333333)",Leicester,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Emile%20Heskey%20as%20a%20player%20of%20England%20national%20football%20team.jpg
492,Q244799,Peter Shilton,"(52.633333333, -1.133333333)",Leicester,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Shilton.png
493,Q297252,David Moyes,"(55.919238, -4.333202)",Bearsden,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Moyes%20%28201551591%29.jpg
494,Q11954,Dries Mertens,"(50.8775, 4.704444)",Leuven,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Bel-Tun%20%2812%29.jpg
495,Q40596,Łukasz Fabiański,"(52.588333333, 14.666666666)",Kostrzyn nad Odrą,Poland,http://commons.wikimedia.org/wiki/Special:FilePath/Lukasz%20Fabianski%202011.jpg
496,Q68039,Zbigniew Boniek,"(53.116666666, 18.0)",Bydgoszcz,Poland,http://commons.wikimedia.org/wiki/Special:FilePath/Boniek%20Zbigniew.jpg
497,Q186478,Luca Toni,"(44.332701, 10.833118)",Pavullo nel Frignano,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Luca%20Toni%202017%20%28cropped%29.jpg
498,Q514427,Granit Xhaka,"(47.560555555, 7.590555555)",Basel,Switzerland,http://commons.wikimedia.org/wiki/Special:FilePath/SWE-SWI%20%2818%29%20%28cropped%29.jpg
499,Q18394009,Renato Sanches,"(38.7452, -9.1604)",Lisbon,Portugal,http://commons.wikimedia.org/wiki/Special:FilePath/Renato%20Sanches%202016.jpg
500,Q44118,Hamit Altıntop,"(51.516666666, 7.1)",Gelsenkirchen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Hamit%20Alt%C4%B1ntop%20Akhisar.JPG
501,Q6413296,Kingsley Coman,"(48.856944444, 2.351388888)",Paris,France,http://commons.wikimedia.org/wiki/Special:FilePath/Kingsley%20Coman%20%282019%29%20%28cropped%29.jpg
502,Q1908,Mathieu Debuchy,"(50.5575, 3.134166666)",Fretin,France,http://commons.wikimedia.org/wiki/Special:FilePath/Mathieu%20Debuchy%2C%202015-05-31.JPG
503,Q1915,Laurent Koscielny,"(45.265833333, 1.772222222)",Tulle,France,http://commons.wikimedia.org/wiki/Special:FilePath/Koscielny%20France.jpg
504,Q1917,Philippe Mexès,"(43.604444444, 1.443888888)",Toulouse,France,http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Mex%C3%A8s%202012-06-11.jpg
505,Q1929,Gaël Clichy,"(43.604444444, 1.443888888)",Toulouse,France,http://commons.wikimedia.org/wiki/Special:FilePath/Gael%20Clichy%2C%20Premier%20League%20parade%2011-12.jpg
506,Q1936,Djibril Cissé,"(43.676944444, 4.628611111)",Arles,France,http://commons.wikimedia.org/wiki/Special:FilePath/Djibril%20Ciss%C3%A9%20in%20Moscow.jpg
507,Q445541,Edmundo,"(-22.883333333, -43.103611111)",Niterói,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Edmundo.jpg
508,Q484772,Anderson,"(-30.032777777, -51.23)",Porto Alegre,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/AndersonUCL.jpg
509,Q80761,Dante Bonfim Costa Santos,"(-12.970833333, -38.510833333)",Salvador,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Dante%20Bonfim.jpg
510,Q189184,Rafael Pereira da Silva,"(-22.505, -43.178888888)",Petrópolis,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Man%20Utd%202011.jpg
511,Q2485842,George Yonashiro,"(-23.550394444, -46.633947222)",São Paulo,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/George%20Yonashiro.jpg
512,Q189008,Konstantin Zyryanov,"(58.013888888, 56.248888888)",Perm,Russia,http://commons.wikimedia.org/wiki/Special:FilePath/Zyrya.jpg
513,Q77305,Guido Buchwald,"(52.53333333, 13.16666667)",West Berlin,Allied-occupied Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Guido%20Buchwald%20cropped.jpg
514,Q192913,Martin Škrtel,"(48.727222222, 18.761944444)",Handlová,Slovakia,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20%C5%A0krtel%20%28cropped%29.jpg
515,Q2058682,Jan Oblak,"(46.16549744, 14.306448281)",Škofja Loka,Slovenia,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Oblak%202019.jpg
516,Q159057,Mark Schwarzer,"(-33.866666666, 151.2)",Sydney,Australia,http://commons.wikimedia.org/wiki/Special:FilePath/Mark%20Schwarzer.jpg
518,Q186071,Javier Saviola,"(-34.599722222, -58.381944444)",Buenos Aires,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Saviola%20-%20S.L.%20Benfica%20player.jpg
519,Q2025900,John Stones,"(53.553611111, -1.478888888)",Barnsley,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/1%20john%20stones%202015%20%28cropped%29.jpg
520,Q59108,Kyle Walker,"(53.3825, -1.471944444)",Sheffield,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Kyle%20Walker.jpg
521,Q83498,Danny Rose,"(53.516, -1.133)",Doncaster,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Danny%20Rose%202018-06-28%201.jpg
522,Q28967995,Erling Haaland,"(53.799722222, -1.549166666)",Leeds,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20RB%20Salzburg%20versus%20SV%20Mattersburg%20%284.%20Juli%202019%29%2029.jpg
523,Q191855,Gareth Barry,"(50.85, 0.57)",Hastings,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Gareth%20Barry%202015%20BAT.jpg
524,Q208933,Phil Jagielka,"(53.424, -2.322)",Sale,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Phil%20Jagielka%202015-07-18%201.jpg
525,Q29495,Jonny Evans,"(54.596388888, -5.93)",Belfast,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Jonny%20Evans%2C%20CZE-NIR%202019-10-14%20%284%29.jpg
526,Q3195361,Kepa Arrizabalaga,"(43.321944444, -2.419444444)",Ondarroa,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Chelsea%20vs.%20Arsenal%2C%2029%20May%202019%2021%20%28cropped%29.jpg
527,Q703269,Sergi Roberto,"(41.15487, 1.10871)",Reus,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Sergi%20Roberto%202013%20Catalonia%20%282%29.jpg
528,Q202237,Landon Donovan,"(34.052777777, -117.627777777)",Ontario,United States of America,http://commons.wikimedia.org/wiki/Special:FilePath/WikiLando.jpg
529,Q4284482,Yannick Carrasco,"(50.833055555, 4.366944444)",Ixelles,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Carrasco2016.jpg
530,Q517192,Radja Nainggolan,"(51.221111111, 4.399722222)",Antwerp,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Radja%20Nainggolan%20in%202014%20%28cropped%29%20%28cropped%29.jpg
531,Q188544,Dida,"(-12.05, -38.766944444)",Irará,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Dida-wikipedia.png
533,Q220700,Omar Sívori,"(-33.333333333, -60.216666666)",San Nicolás de los Arroyos,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/EnriqueSivori%201956.jpeg
534,Q187450,Philippe Senderos,"(46.2, 6.15)",Geneva,Switzerland,http://commons.wikimedia.org/wiki/Special:FilePath/Senderos061115-02.jpg
535,Q195953,Stefan de Vrij,"(51.9322, 4.6361)",Ouderkerk aan den IJssel,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Stefan%20de%20Vrij.jpg
536,Q60545,Moussa Sissoko,"(48.938611111, 2.461111111)",Le Blanc-Mesnil,France,http://commons.wikimedia.org/wiki/Special:FilePath/Moussa%20Sissoko%20cropped.JPG
