,qnum,name,coordinates,birth location,birth country,img
133,Q180553,Alexis Sánchez,"(-22.0941, -70.201)",Tocopilla,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Alexis%20S%C3%A1nchez%202017.jpg
134,Q154708,Shinji Kagawa,"(34.6913, 135.183)",Kōbe,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Shinji%20Kagawa%202018.png
135,Q45613,Paul Scholes,"(53.482777777, -2.293055555)",Salford,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/P%20Scholes.jpg
136,Q168740,Juan Mata,"(42.386388888, -3.309166666)",Villafranca Montes de Oca,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Zarya-MU%20%2810%29.jpg
137,Q187159,Jordi Alba,"(41.358888888, 2.099166666)",L'Hospitalet de Llobregat,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Russia-Spain%202017%20%2811%29.jpg
138,Q357984,Kevin De Bruyne,"(51.053611111, 3.725277777)",Ghent,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20De%20Bruyne%20%2824640482031%29%20%28cropped%29.jpg
139,Q489039,Raphaël Varane,"(50.631944444, 3.0575)",Lille,France,http://commons.wikimedia.org/wiki/Special:FilePath/Rapha%C3%ABl%20Varane%202018%20%28cropped%29.jpg
140,Q110053,Mats Hummels,"(50.991666666, 7.136666666)",Bergisch Gladbach,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Mats%20Hummels.jpg
141,Q483846,Gonzalo Higuaín,"(48.39, -4.486944444)",Brest,France,http://commons.wikimedia.org/wiki/Special:FilePath/Higua%C3%ADn%2020180626.jpg
143,Q188720,Michael Laudrup,"(55.6775, 12.536388888)",Frederiksberg,Denmark,http://commons.wikimedia.org/wiki/Special:FilePath/Michael-Laudrup-Nov2008%20%28cropped%29.jpg
